ids_language_code	RU
ids_ui_home_title	Главная
ids_ui_home_newchar	Новый персонаж
ids_ui_home_login	Вход
ids_ui_home_website	Веб-сайт
ids_ui_home_credits	Создатели
ids_ui_home_server	Сервер :
ids_ui_login_charlogin	Логин :
ids_ui_login_password	Пароль :
ids_ui_login_lost	Забыли логин?
ids_ui_newchar_name	Имя:
ids_ui_newchar_girl	Девушка
ids_ui_newchar_boy	Мальчик
ids_ui_newchar_create	Создать
ids_ui_msgbox_ok	OK
ids_ui_msgbox_cancel	Отмена
ids_ui_msgbox_yes	Да
ids_ui_msgbox_no	Нет
ids_ui_loadingscreen	Загрузка...
ids_ui_option_title	Настройки
ids_ui_option_music	Музыка
ids_ui_option_sound	Звуки
ids_ui_option_texquality	Текстуры
ids_ui_option_texhigh	Выс.
ids_ui_option_texmid	Сред.
ids_ui_option_texlow	Низк.
ids_ui_option_weather	Эффекты погоды
ids_ui_option_language	Язык
ids_ui_option_save	Сохранить
ids_ui_navigator_player	Игроки
ids_ui_navigator_npc	NPC
ids_ui_navigator_monster	Монстры
ids_ui_privacy_notice	Правила 
ids_ui_msgbox_accept	Принять
ids_ui_msgbox_decline	Отклонить
ids_ui_option_keyboard	Раскладка клавиатуры
ids_ui_msgbox_close	Закрыть
ids_ui_option_shadows	Тени
ids_ui_option_fullscreen	Полный экран
ids_ui_motion_tab_mot	Движения
ids_ui_motion_tab_emo	Эмоции
ids_ui_revival_title	Воскрешение
ids_ui_revival_lodestar	Воскрешение у Звезды Жизни
ids_ui_charinfo_base	Характеристики
ids_ui_charinfo_name	Название
ids_ui_charinfo_login	Логин
ids_ui_charinfo_job	Класс
ids_ui_charinfo_level	Уровень
ids_ui_charinfo_server	Сервер
ids_ui_charinfo_detail	Дополнительно
ids_ui_charinfo_atk	+АТК
ids_ui_charinfo_critical	КРИТ
ids_ui_charinfo_def	+ЗЩТ
ids_ui_charinfo_aspeed	СК.АТК
ids_ui_charinfo_str	СИЛ
ids_ui_charinfo_sta	ВНС
ids_ui_charinfo_dex	ЛВК
ids_ui_charinfo_int	ИНТ
ids_ui_charinfo_statpoints	Очки:
ids_ui_charinfo_apply	Принять
ids_ui_charinfo_reset	Сброси
ids_ui_charinfo_changestate	Изменение характеристик
ids_ui_charinfo_apply_tooltip	Принять изменения.
ids_ui_charinfo_reset_tooltip	Отменить изменения.
ids_ui_charinfo_plusminus_tooltip	Распределите очки и нажмите кнопку 'Принять'.
ids_ui_charinfo_str_tooltip	Увеличивает физическую силу атаки оружия.\n(#cffb40000Кроме волшебных палочек и луков#nc)
ids_ui_charinfo_sta_tooltip	Увеличивает защиту\nУвеличивает скорость восстановления и максимум ОЗ и ОЭ.
ids_ui_charinfo_dex_tooltip	Увеличивает скорость атаки\nУвеличивает шанс уклонения и блокировки\nУвеличивает шанс критического удара\n#cffb40000Увеличивает силу атаки лука.#nc
ids_ui_charinfo_int_tooltip	Увеличивает силу атаки магов и максимум ОМ.
ids_ui_charinfo_gp_tooltip	Распределите очки и нажмите кнопку 'Принять'.
ids_ui_tooltip_sex_male	Пол: М
ids_ui_tooltip_sex_female	Пол: Ж
ids_ui_tooltip_onehand	Одноручное оружие.
ids_ui_tooltip_twohand	Двуручное оружие.
ids_ui_tooltip_attack	Атака:
ids_ui_tooltip_def_a	+ЗЩТ
ids_ui_tooltip_def_b	+ЗЩТ
ids_ui_tooltip_attack_speed	Скор. атаки: %s
ids_ui_tooltip_req_job	Требуется класс:
ids_ui_tooltip_req_level	Требуется уровень: %d
ids_ui_tooltip_restore_mp	Восстанавливает %d ОМ.
ids_ui_tooltip_restore_hp	Восстанавливает %d ОЗ.
ids_ui_tooltip_restore_fp	Восстанавливает %d ОЭ.
ids_ui_tooltip_max_restore	Не подействует, если у вас свыше %d ОЗ\ОМ\ОЭ.
ids_ui_tooltip_inv_suit	Наряд
ids_ui_tooltip_inv_gauntlet	Перчатки
ids_ui_tooltip_inv_boots	Сапоги
ids_ui_tooltip_inv_helmet	Шлем
ids_ui_tooltip_inv_clo	Создать плащ
ids_ui_tooltip_inv_weapon	Оружие
ids_ui_tooltip_inv_guard	Щит
ids_ui_tooltip_inv_mask	Маска
ids_ui_tooltip_inv_rid	Летательный аппарат
ids_ui_tooltip_inv_necklace	Ожерелье
ids_ui_tooltip_inv_ring	Кольцо
ids_ui_tooltip_inv_earring	Серьга
ids_ui_tooltip_inv_bullet	Стрелы и афиши
ids_ui_tooltip_inv_clothes_1	Маскарадная шляпа
ids_ui_tooltip_inv_clothes_2	Маскарадный костюм
ids_ui_tooltip_inv_clothes_3	Маскарадные перчатки
ids_ui_tooltip_inv_clothes_4	Маскарадные ботинки
ids_ui_inventory_1_bag	#b1#nb bag
ids_ui_inventory_n_bags	#b%d#nb bags
ids_ui_iventory_bag_n	Bag %d
ids_ui_tooltip_mon_lvl	Ур.
ids_ui_tooltip_mon_drop	Booty:
ids_ui_tooltip_mon_no_drop	Нет
ids_ui_map_moninfo	Показывать информацию о монстрах.
ids_ui_tooltip_delete_item	Корзина. Перетащите сюда предмет, чтобы удалить его.
ids_ui_inventory_delete	Подтверждение
ids_ui_inventory_delete_confirm	Удалить предмет?
ids_ui_inventory_delete_cnt	К-во:
ids_ui_dialog	Chat box
ids_ui_dialog_title	Разговор
ids_ui_dialog_about	%s
ids_ui_option_tab_game	Игра / звук
ids_ui_option_tab_video	Изображение
ids_ui_option_pm	Разрешить шепот и сообщения
ids_ui_instantmsg_title	Сообщение
